ID	label	class	subclass	dcterms:title	dcterms:alternative	krsc:releasedate	krsc:genre	krsc:runningTime	krsc:trackVolume	krsc:albumType	krsc:playURL	krsc:imageURL	foaf:maker	krsc:isFeaturingBy	dcterms:hasPart	dcterms:isPartOf	krsc:productionAgency	krsc:publishingCompany	krsc:isMasteredBy	krsc:isMixedBy	krsc:isAssistedBy	krsc:isArrangedBy	krsc:isProducedBy	krsc:isComposedBy	krsc:isLyricsBy	krsc:isScratchBy	krsc:isTurntableLyricsBy	krsc:isBassBy	krsc:isGuitarBy	krsc:isKeyboardsBy	krsc:isSamplePlayedBy	krsc:isFemaleChorusBy	krsc:isMaleChrousBy	krsc:RecordingStudio	krsc:MasteringStudio	krsc:isPlayedin	krsc:hasVideo	dcterms:isReferencedBy	dcterms:references	krsc:mentionedIn
Track_002	Get Down	krsc:Work	krsc:MusicTrack	Get Down		2000-06-05	랩/힙합	3:53					SOUTHSIDE ALLSTARZ			MP HIPHOP 2000 초			이현숙	김국현	정두석 / 최영희	Niddle	Niddle	Niddle	Niddle / A.Jay / Leo Kekoa / 주석 / Penny / MC성천	DJ Tommy								2 BLUE studio	Rock Studio	Hip Hopper's Paradise / Get Down M/V	Get Down M/V	MP HIPHOP 2000 초		
Track_003	주사위	krsc:Work	krsc:MusicTrack	주사위		2000-06-05	랩/힙합	4:16			https://youtu.be/UUwvuuxjKEc?si=O9QIciTfifc4tjU0		DJ 렉스 / DJ소울스케이프 / MC메타 / Tequila Addicted / MC성천 / 주석 / T'ache / Seven / 나찰 / 			MP HIPHOP 2000 초			이현숙	윤상철	정두석 / 최영희	Saatan	Saatan	Saatan	MC메타 / Tequila Addicted / MC성천 / 주석 / T'ache / Seven / 나찰	DJ소울스케이프 / DJJU	DJ 렉스							2 BLUE studio	Rock Studio	Hip Hopper's Paradise		MP HIPHOP 2000 초		
Track_004	배수의 진	krsc:Work	krsc:MusicTrack	배수의 진 (輩水陣)		2000-06-05	랩/힙합	4:30			https://youtu.be/mpAuS2Zk6No?si=1ZLo3zQIRIx9HpS1		주석			MP HIPHOP 2000 초			이현숙	김국현	정두석 / 최영희	주석	주석	주석	주석	DJ Tommy								2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_005	Underground	krsc:Work	krsc:MusicTrack	Underground		2000-06-05	랩/힙합	4:09					가리온			MP HIPHOP 2000 초			이현숙	김국현	정두석 / 최영희	DJ JU	DJJU	DJJU	MC메타 / 나찰	DJ JU								2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_006	갈등극	krsc:Work	krsc:MusicTrack	갈등극		2000-06-05	랩/힙합	4:50			https://youtu.be/Be8crWS0Vvw?si=VOOM11GOVpr65QQL		다크루	Issac Squab		MP HIPHOP 2000 초			이현숙	나용희	강재구	Saatan	Saatan	Saatan	Seven / Issac Squab									2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_007	Word Up	krsc:Work	krsc:MusicTrack	Word Up		2000-06-05	랩/힙합	4:10			https://youtu.be/s2F5zaBJmd4?si=9xbzFQ-eJjDrTJMj		사이드비(Side-B)			MP HIPHOP 2000 초			이현숙	김국현	정두석 / 최영희	Niddle	Niddle	Niddle	G.A.S.S / T'ache / Niddle	DJ Tommy								2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_008	취두리	krsc:Work	krsc:MusicTrack	취두리		2000-06-05	랩/힙합	4:00			https://youtu.be/H0mkyXd4m6Y?si=zkLk7uiHUkCZsuzK		갱톨릭(GANGTHOLIC)			MP HIPHOP 2000 초			이현숙	오승철 / Yanstar		갱톨릭(GANGTHOLIC) / Yanstar	Yanstar	갱톨릭(GANGTHOLIC) / Yanstar	갱톨릭(GANGTHOLIC)					Yanstar / 정애경				Gang. A. G studio	Rock Studio			MP HIPHOP 2000 초		
Track_009	옛이야기	krsc:Work	krsc:MusicTrack	옛이야기		2000-06-05	랩/힙합	6:15			https://youtu.be/e_3rguXwL0M?si=y9Vbaf8Rhw-i6pDI		373 Project			MP HIPHOP 2000 초			이현숙	윤상철	정두석 / 최영희	DJ JU	DJ JU	DJ JU	MC메타 / 나찰 / Seven	DJ JU								2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_010	B Boy Style(New Recording Ver.)	krsc:Work	krsc:MusicTrack	B Boy Style(New Recording Ver.)		2000-06-05	랩/힙합	3:35			https://youtu.be/U2jSBMS13i0?si=x7yEVZn2-1vR2X9g		사이드비(Side-B)			MP HIPHOP 2000 초			이현숙	김국현	정두석 / 최영희	Charmeleon(박홍신)	Niddle	Niddle / Charmeleon(박홍신)	G.A.S.S / T'ache / Niddle	G.A.S.S								2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_011	길	krsc:Work	krsc:MusicTrack	길		2000-06-05	랩/힙합	4:35			https://youtu.be/bQXt20n1tro?si=ht--MpEtOjXx7K-s		Soul Chamber	Def Roy		MP HIPHOP 2000 초			이현숙	황기연	구지애	DJ 소울스케이프	DJ 소울스케이프	DJ 소울스케이프	Penny / Def Roy	DJ 소울스케이프								2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_012	옹알이 1 (Don't Stop Scratchin')	krsc:Work	krsc:MusicTrack	옹알이 1 (Don't Stop Scratchin')		2000-06-05	랩/힙합	2:30			https://youtu.be/hYl84909DB4?si=hmVsIqBh66I76pb9		DJ JU			MP HIPHOP 2000 초			이현숙	정두석	최영희	DJ JU	DJ JU	DJ JU		DJ JU								2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_013	진(眞)vs위(僞)	krsc:Work	krsc:MusicTrack	진(眞) vs 위(僞)		2000-06-05	랩/힙합	4:10			https://youtu.be/EHvmfkXEvvE?si=AFJYfLXTSxV438kJ		주석	ILL SKILLZ		MP HIPHOP 2000 초			이현숙	김국현	정두석 / 최영희	주석	주석	주석	주석 / Vinnie / Leo Kekoa / MAKE-1	DJ 소울스케이프								2 BLUE studio	Rock Studio		진(眞)vs위(僞) M/V	MP HIPHOP 2000 초		
Track_014	비조심	krsc:Work	krsc:MusicTrack	비조심		2000-06-05	랩/힙합	3:45			https://youtu.be/0JznIyYBxLg?si=y5UE1ovoFKJSzcbY		MC 성천			MP HIPHOP 2000 초			이현숙	황기연	구지애	MC 성천 / Niddle	MC 성천	MC 성천 / Niddle	MC 성천		DJ 렉스							2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_015	이렇게(#2 가리온 ver. 9812)	krsc:Work	krsc:MusicTrack	이렇게 (#2 가리온 Ver. 9812)		2000-06-05	랩/힙합	5:00			https://youtu.be/uaZkj_mKvPU?si=U-is-jZ1nIILoYTc		가리온			MP HIPHOP 2000 초			이현숙	나용희	강재구	DJ JU	DJ JU	DJ JU	MC메타 / 나찰	DJ JU								2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_016	초...	krsc:Work	krsc:MusicTrack	초...		2000-06-05	랩/힙합	4:15			https://youtu.be/4Qi-CqQUmm8?si=dlXB2eX9lk5Zo_t5		Penny / T'ache / Def Roy / 주석 / DJ 렉스 / Leo Kekoa			MP HIPHOP 2000 초			이현숙	김국현	정두석 / 최영희	Niddle	Niddle	Niddle	Penny / T'ache / Def Roy / 주석 / Leo Kekoa	DJ 렉스					Charmeleon(박홍신)	조원선		2 BLUE studio	Rock Studio			MP HIPHOP 2000 초		
Track_017	꼬마 달건이	krsc:Work	krsc:MusicTrack	꼬마 달건이		2000-06-05	랩/힙합	4:05			https://youtu.be/DMKVEdCDj8c?si=zR5RjW9nTztWepcu		ONE SUN	MC 성천		MP HIPHOP 2000 초				나용희	최영희	Niddle / J / ONE SUN	ONE SUN	ONE SUN / J / Niddle	ONE SUN / MC feel		DJ 렉스							2 BLUE studio				MP HIPHOP 2000 초		
Track_018	No Sex, No Love	krsc:Work	krsc:MusicTrack	No Sex, No Love		2000-06-05	랩/힙합	5:10			https://youtu.be/583KO7Bzod4?si=DKMkVT1ptQYPqDm6		Tequila Addicted	Penny / More / 6POINT		MP HIPHOP 2000 초				최인호	조창희	Tequila Addicted		Tequila Addicted	Tequila Addicted / Penny / More / 6POINT	J-track		김정욱	염주현				선종욱	Powerline studio				MP HIPHOP 2000 초		
Video_001	Get Down M/V	krsc:Work	krsc:Video	Get Down M/V	Get Down 뮤비 / Get Down 뮤직비디오	2000-06-05	랩/힙합	4:20			https://youtu.be/C7d0PBlMD_U?si=ZF6yUVV9EcZOf-4_		마스터플랜																											
Video_002	진(眞)vs위(僞) M/V	krsc:Work	krsc:Video	진(眞)vs위(僞) M/V		2000-00-00	랩/힙합	4:09			https://youtu.be/PR6WAcBH7U4?si=2TinNmW0WphdzmWq		마스터플랜																											
	검은소리 Vol.1																																							
